key,brand,tier,year,season,emb_idx
9857,Chanel,Luxury,2009,Fall,0
406449,Giorgio Armani,Luxury,2003,Spring,1
6919,Miu Miu,Accessible Luxury,2003,Fall,2
561006,Gucci,Luxury,2001,Spring,3
289964,Max Mara,Accessible Luxury,2002,Fall,4
177147,Balenciaga,Avant-garde,2006,Fall,5
1188537,Maison Margiela,Avant-garde,2012,Resort,6
470910,Gucci,Luxury,2008,Resort,7
730867,Miu Miu,Accessible Luxury,2004,Fall,8
126759,Maison Margiela,Avant-garde,2011,Spring,9
29565,Alexander McQueen,Avant-garde,2012,Fall,10
342057,Gucci,Luxury,2005,Fall,11
61462,Fendi,Luxury,2012,Spring,12
574251,Valentino,Luxury,2012,Resort,13
193988,Dries Van Noten,Avant-garde,2015,Fall,14
190863,Chanel,Luxury,2008,Pre-Fall,15
140542,Balenciaga,Avant-garde,2004,Fall,16
130349,Balenciaga,Avant-garde,2007,Spring,17
87312,Prada,Luxury,2006,Fall,18
474842,Ralph Lauren,Accessible Luxury,2001,Fall,19
146677,Alexander McQueen,Avant-garde,2023,Fall,20
82777,Valentino,Luxury,2012,Fall,21
692666,Fendi,Luxury,2013,Pre-Fall,22
565569,Fendi,Luxury,2012,Pre-Fall,23
31822,Saint Laurent,Luxury,2015,Fall,24
860513,Givenchy,Luxury,2013,Resort,25
1104066,Louis Vuitton,Luxury,2011,Resort,26
298854,Prada,Luxury,2014,Fall,27
109009,Valentino,Luxury,2022,Spring,28
583650,Givenchy,Luxury,2012,Pre-Fall,29
70403,Giorgio Armani,Luxury,2005,Fall,30
631798,Marni,Accessible Luxury,2012,Pre-Fall,31
4799,Alexander McQueen,Avant-garde,2014,Spring,32
426160,Maison Margiela,Avant-garde,2015,Spring,33
885023,Ralph Lauren,Accessible Luxury,2014,Pre-Fall,34
180020,Dolce & Gabbana,Luxury,2014,Spring,35
965575,Stella McCartney,Accessible Luxury,2017,Pre-Fall,36
110079,Givenchy,Luxury,2019,Fall,37
178471,Miu Miu,Accessible Luxury,2017,Spring,38
711389,Max Mara,Accessible Luxury,2016,Fall,39
28526,Givenchy,Luxury,2023,Spring,40
854633,Stella McCartney,Accessible Luxury,2014,Spring,41
103846,Saint Laurent,Luxury,2002,Spring,42
172423,Fendi,Luxury,2013,Fall,43
257378,Dries Van Noten,Avant-garde,2021,Fall,44
347909,Missoni,Accessible Luxury,2018,Fall,45
148447,Versace,Luxury,2017,Fall,46
205570,Christian Dior,Luxury,2016,Spring,47
724765,Alexander McQueen,Avant-garde,2019,Pre-Fall,48
96905,Giorgio Armani,Luxury,2020,Resort,49
100985,Prada,Luxury,2021,Fall,50
19049,Louis Vuitton,Luxury,2019,Fall,51
77353,Dolce & Gabbana,Luxury,2023,Spring,52
86615,Prada,Luxury,2021,Fall,53
381117,Louis Vuitton,Luxury,2020,Resort,54
216152,Valentino,Luxury,2019,Fall,55
437792,Givenchy,Luxury,2020,Fall,56
624394,Balenciaga,Avant-garde,2020,Resort,57
512271,Alexander McQueen,Avant-garde,2016,Fall,58
433497,Max Mara,Accessible Luxury,2016,Resort,59
88652,Valentino,Luxury,2017,Resort,60
38556,Miu Miu,Accessible Luxury,2020,Spring,61
680332,Marni,Accessible Luxury,2022,Resort,62
516559,Max Mara,Accessible Luxury,2017,Pre-Fall,63
250589,Christian Dior,Luxury,2008,Spring,64
557297,Miu Miu,Accessible Luxury,2008,Spring,65
75817,Ralph Lauren,Accessible Luxury,2001,Fall,66
142692,Burberry,Accessible Luxury,2007,Fall,67
193185,Giorgio Armani,Luxury,2003,Spring,68
771598,Prada,Luxury,2009,Resort,69
746450,Valentino,Luxury,2009,Resort,70
353272,Maison Margiela,Avant-garde,2011,Pre-Fall,71
106082,Saint Laurent,Luxury,2001,Spring,72
234563,Louis Vuitton,Luxury,2007,Spring,73
217594,Dries Van Noten,Avant-garde,2003,Spring,74
27092,Gucci,Luxury,2013,Spring,75
252641,Valentino,Luxury,2004,Spring,76
35571,Versace,Luxury,2006,Spring,77
329347,Giorgio Armani,Luxury,2011,Fall,78
54244,Ralph Lauren,Accessible Luxury,2015,Resort,79
479104,Alexander McQueen,Avant-garde,2013,Spring,80
196448,Christian Dior,Luxury,2011,Spring,81
409058,Max Mara,Accessible Luxury,2011,Spring,82
29231,Burberry,Accessible Luxury,2008,Spring,83
641780,Rick Owens,Avant-garde,2009,Spring,84
175046,Miu Miu,Accessible Luxury,2008,Fall,85
173231,Burberry,Accessible Luxury,2011,Spring,86
514532,Dolce & Gabbana,Luxury,2001,Fall,87
323095,Givenchy,Luxury,2011,Fall,88
911081,Maison Margiela,Avant-garde,2006,Spring,89
30,Balenciaga,Avant-garde,2016,Resort,90
84494,Chanel,Luxury,2011,Spring,91
313695,Versace,Luxury,2011,Fall,92
68535,Versace,Luxury,2013,Fall,93
129278,Givenchy,Luxury,2013,Spring,94
359529,Maison Margiela,Avant-garde,2015,Fall,95
68939,Burberry,Accessible Luxury,2015,Spring,96
33541,Stella McCartney,Accessible Luxury,2017,Spring,97
768190,Miu Miu,Accessible Luxury,2015,Fall,98
56804,Christian Dior,Luxury,2013,Pre-Fall,99
395098,Chanel,Luxury,2015,Pre-Fall,100
213352,Dries Van Noten,Avant-garde,2014,Fall,101
116034,Fendi,Luxury,2015,Spring,102
311745,Burberry,Accessible Luxury,2022,Resort,103
240506,Ralph Lauren,Accessible Luxury,2018,Fall,104
702761,Maison Margiela,Avant-garde,2014,Resort,105
19840,Givenchy,Luxury,2020,Pre-Fall,106
279323,Giorgio Armani,Luxury,2017,Resort,107
37386,Burberry,Accessible Luxury,2018,Fall,108
755611,Miu Miu,Accessible Luxury,2019,Spring,109
288569,Balenciaga,Avant-garde,2019,Spring,110
136248,Gucci,Luxury,2018,Fall,111
662899,Ralph Lauren,Accessible Luxury,2022,Fall,112
293869,Max Mara,Accessible Luxury,2016,Spring,113
177573,Christian Dior,Luxury,2019,Fall,114
354371,Stella McCartney,Accessible Luxury,2019,Fall,115
58678,Alexander McQueen,Avant-garde,2023,Spring,116
901973,Stella McCartney,Accessible Luxury,2017,Resort,117
150073,Maison Margiela,Avant-garde,2017,Fall,118
11937,Stella McCartney,Accessible Luxury,2020,Spring,119
231641,Valentino,Luxury,2020,Fall,120
203718,Alexander McQueen,Avant-garde,2020,Fall,121
122376,Fendi,Luxury,2019,Pre-Fall,122
378559,Jean Paul Gaultier,Avant-garde,2021,Fall,123
10248,Burberry,Accessible Luxury,2019,Pre-Fall,124
1510,Prada,Luxury,2020,Spring,125
114106,Stella McCartney,Accessible Luxury,2023,Resort,126
408274,Alexander McQueen,Avant-garde,2022,Spring,127
1157891,Saint Laurent,Luxury,2013,Pre-Fall,128
908813,Christian Dior,Luxury,2012,Pre-Fall,129
887964,Rick Owens,Avant-garde,2008,Fall,130
179261,Versace,Luxury,2004,Spring,131
221132,Dolce & Gabbana,Luxury,2003,Fall,132
134830,Versace,Luxury,2007,Spring,133
350172,Burberry,Accessible Luxury,2008,Pre-Fall,134
390806,Dries Van Noten,Avant-garde,2004,Spring,135
493215,Prada,Luxury,2001,Spring,136
406870,Burberry,Accessible Luxury,2005,Spring,137
60649,Valentino,Luxury,2003,Spring,138
439625,Fendi,Luxury,2002,Spring,139
21915,Missoni,Accessible Luxury,2007,Spring,140
582148,Rick Owens,Avant-garde,2004,Fall,141
195522,Giorgio Armani,Luxury,2009,Pre-Fall,142
778310,Balenciaga,Avant-garde,2009,Spring,143
85929,Maison Margiela,Avant-garde,2017,Fall,144
116419,Ralph Lauren,Accessible Luxury,2011,Fall,145
121573,Saint Laurent,Luxury,2015,Spring,146
24969,Dolce & Gabbana,Luxury,2011,Fall,147
113067,Jean Paul Gaultier,Avant-garde,2002,Fall,148
196188,Marni,Accessible Luxury,2004,Fall,149
42420,Chanel,Luxury,2012,Pre-Fall,150
308989,Ralph Lauren,Accessible Luxury,2000,Fall,151
34931,Alexander McQueen,Avant-garde,2023,Spring,152
250244,Burberry,Accessible Luxury,2015,Fall,153
1016155,Marni,Accessible Luxury,2011,Pre-Fall,154
1266391,Louis Vuitton,Luxury,2019,Pre-Fall,155
383827,Alexander McQueen,Avant-garde,2010,Fall,156
89780,Louis Vuitton,Luxury,2010,Fall,157
319191,Marni,Accessible Luxury,2012,Spring,158
284506,Versace,Luxury,2012,Resort,159
555037,Saint Laurent,Luxury,2012,Pre-Fall,160
292412,Louis Vuitton,Luxury,2013,Resort,161
472491,Ralph Lauren,Accessible Luxury,2009,Spring,162
128242,Dries Van Noten,Avant-garde,2014,Fall,163
131103,Alexander McQueen,Avant-garde,2013,Pre-Fall,164
218266,Christian Dior,Luxury,2008,Resort,165
361941,Saint Laurent,Luxury,2012,Spring,166
23447,Christian Dior,Luxury,2020,Fall,167
154204,Saint Laurent,Luxury,2013,Fall,168
166500,Balenciaga,Avant-garde,2020,Spring,169
197398,Saint Laurent,Luxury,2001,Fall,170
199382,Giorgio Armani,Luxury,2006,Spring,171
315301,Max Mara,Accessible Luxury,2016,Pre-Fall,172
482802,Saint Laurent,Luxury,2023,Resort,173
35302,Louis Vuitton,Luxury,2017,Spring,174
299534,Burberry,Accessible Luxury,2022,Spring,175
272470,Givenchy,Luxury,2018,Fall,176
68232,Louis Vuitton,Luxury,2014,Fall,177
61321,Missoni,Accessible Luxury,2022,Pre-Fall,178
323450,Missoni,Accessible Luxury,2016,Fall,179
428808,Missoni,Accessible Luxury,2022,Spring,180
339392,Giorgio Armani,Luxury,2022,Spring,181
139643,Givenchy,Luxury,2016,Fall,182
411123,Fendi,Luxury,2022,Pre-Fall,183
138553,Saint Laurent,Luxury,2020,Spring,184
72563,Saint Laurent,Luxury,2022,Resort,185
225184,Chanel,Luxury,2020,Spring,186
276761,Ralph Lauren,Accessible Luxury,2021,Pre-Fall,187
355016,Fendi,Luxury,2023,Fall,188
939979,Stella McCartney,Accessible Luxury,2021,Spring,189
38684,Valentino,Luxury,2021,Resort,190
257806,Gucci,Luxury,2020,Pre-Fall,191
206374,Giorgio Armani,Luxury,2004,Fall,192
362831,Dries Van Noten,Avant-garde,2014,Fall,193
374949,Prada,Luxury,2008,Fall,194
552182,Balenciaga,Avant-garde,2013,Resort,195
115026,Louis Vuitton,Luxury,2012,Spring,196
389488,Christian Dior,Luxury,2004,Fall,197
490529,Max Mara,Accessible Luxury,2007,Spring,198
140586,Ralph Lauren,Accessible Luxury,2007,Spring,199
987928,Versace,Luxury,2011,Resort,200
498897,Marni,Accessible Luxury,2002,Spring,201
34804,Gucci,Luxury,2012,Spring,202
300140,Versace,Luxury,2007,Spring,203
8770,Prada,Luxury,2004,Fall,204
321000,Max Mara,Accessible Luxury,2012,Resort,205
380551,Max Mara,Accessible Luxury,2008,Spring,206
922465,Stella McCartney,Accessible Luxury,2004,Spring,207
445362,Giorgio Armani,Luxury,2010,Resort,208
540243,Givenchy,Luxury,2003,Spring,209
391122,Versace,Luxury,2012,Spring,210
245616,Giorgio Armani,Luxury,2008,Fall,211
11423,Christian Dior,Luxury,2007,Resort,212
788491,Fendi,Luxury,2013,Resort,213
107923,Valentino,Luxury,2010,Spring,214
191323,Fendi,Luxury,2008,Fall,215
973214,Balenciaga,Avant-garde,2015,Resort,216
114993,Ralph Lauren,Accessible Luxury,2016,Resort,217
380772,Miu Miu,Accessible Luxury,2014,Fall,218
185568,Versace,Luxury,2002,Spring,219
764671,Givenchy,Luxury,2013,Pre-Fall,220
225707,Burberry,Accessible Luxury,2011,Spring,221
134486,Gucci,Luxury,2014,Fall,222
260726,Missoni,Accessible Luxury,2010,Spring,223
204165,Burberry,Accessible Luxury,2012,Spring,224
356284,Louis Vuitton,Luxury,2015,Pre-Fall,225
407682,Balenciaga,Avant-garde,2001,Fall,226
