brand,tier,year,season,url,key
Vanessa Bruno,Fast Fashion,2016,Spring,https://assets.vogue.com/photos/57f2599abde13efa7190b570/20-vanessa-bruno-spring-2017-rtw.jpg,0814870
Tommy Hilfiger,Fast Fashion,2018,Fall,https://assets.vogue.com/photos/5a870d63c92bd576816d2bec/30-tommy-hilfiger-mens-fw-18.jpg,1178796
Tory Burch,Fast Fashion,2013,Pre-Fall,https://assets.vogue.com/photos/55c650ff08298d8be219ad97/TBURCH_006_1366.1366x2048.JPG,1041283
Tory Burch,Fast Fashion,2016,Resort,https://assets.vogue.com/photos/575091e4e1e977d92b7e9ad2/06-tory-burch-resort-17.jpg,0636396
Isabel Marant,Fast Fashion,2021,Fall,https://assets.vogue.com/photos/604278fd8a26b6e2fe75ceee/00015-Isabel-Marant-RTW-Fall-21.jpg,0470359
Tory Burch,Fast Fashion,2016,Pre-Fall,https://assets.vogue.com/photos/583fae59522e75eb140b8261/15-tory-burch-pre-fall-2017.jpg,0125958
Vanessa Bruno,Fast Fashion,2016,Fall,https://assets.vogue.com/photos/56deed7d7314ef1c4ab0f455/21-vanessa-bruno-fall-2016-ready-to-wear.jpg,0355483
Tommy Hilfiger,Fast Fashion,2020,Fall,https://assets.vogue.com/photos/5e8d98eed217ec0008397da1/00005-Tommy-Hilfiger-WOMENS-FALL-20-RTW.jpg,0880537
Tory Burch,Fast Fashion,2013,Resort,https://assets.vogue.com/photos/55c650ec08298d8be2186554/007fullscreen.jpg,0280316
Vanessa Bruno,Fast Fashion,2015,Spring,https://assets.vogue.com/photos/55c651c808298d8be227e6ad/Vanessa_Bruno_21_1366.jpg,0773704
Isabel Marant,Fast Fashion,2017,Spring,https://assets.vogue.com/photos/59cd4425aca61e23ea062d19/_ISA0595.jpg,0641615
Tory Burch,Fast Fashion,2021,Spring,https://assets.vogue.com/photos/5f88139304ab45f8d2473f08/00005-Tory-Burch-RTW-Spring-21.jpg,0952056
Lacoste,Fast Fashion,2008,Fall,https://assets.vogue.com/photos/55c6518708298d8be22347ad/00360m.jpg,0230126
