year,lvmh_revenue_bn,kering_revenue_bn,lvmh_growth,kering_growth,luxury_growth_avg
2000,11.6,5.5,,,
2001,12.2,5.8,5.1724137931034475,5.454545454545445,5.313479623824446
2002,12.7,5.4,4.098360655737698,-6.896551724137923,-1.3990955342001121
2003,12.0,5.5,-5.5118110236220375,1.8518518518518379,-1.8299795858850998
2004,12.5,6.0,4.166666666666674,9.090909090909083,6.628787878787879
2005,13.9,7.6,11.20000000000001,26.66666666666666,18.933333333333337
2006,15.3,7.7,10.07194244604317,1.3157894736842257,5.6938659598636985
2007,16.5,8.6,7.843137254901955,11.688311688311682,9.765724471606818
2008,17.2,7.2,4.2424242424242475,-16.279069767441857,-6.018322762508805
2009,17.1,8.0,-0.5813953488371992,11.111111111111116,5.264857881136958
2010,20.3,9.7,18.71345029239766,21.249999999999993,19.981725146198826
2011,23.7,10.0,16.748768472906406,3.0927835051546504,9.920775989030528
2012,28.1,9.7,18.565400843881875,-3.0000000000000027,7.782700421940936
2013,29.1,9.9,3.558718861209975,2.0618556701031077,2.8102872656565414
2014,30.6,10.0,5.154639175257736,1.0101010101010166,3.0823700926793762
2015,35.7,11.6,16.666666666666675,15.999999999999993,16.333333333333336
2016,37.6,12.4,5.3221288515406195,6.896551724137945,6.109340287839283
2017,42.6,15.5,13.29787234042552,25.0,19.14893617021276
2018,46.8,13.7,9.859154929577452,-11.612903225806459,-0.8768741481145037
2019,53.7,15.9,14.743589743589759,16.058394160583944,15.400991952086851
2020,44.7,13.1,-16.759776536312852,-17.610062893081768,-17.18491971469731
2021,64.2,17.6,43.6241610738255,34.351145038167964,38.98765305599673
2022,79.2,20.4,23.364485981308402,15.909090909090896,19.63678844519965
2023,86.2,19.6,8.838383838383844,-3.9215686274509665,2.458407605466439
2024,84.7,17.6,-1.740139211136893,-10.204081632653061,-5.9721104218949765
