brand,tier,year,season,dispersion_mean,dispersion_std,lab_entropy_mean,mean_L,saturation_mean,saturation_std,value_mean,hue_conc_mean,hue_mean,n_images,bw_collection,vix_annual_mean,gdp_growth_world,recession,ecb_rate,eu_gdp_growth,eu_recession,vix_z,gdp_z,ecb_z,eu_gdp_z,disp_season_mean,disp_season_std,dispersion_z,vix_z_lag1,gdp_z_lag1,recession_lag1,ecb_z_lag1,eu_gdp_z_lag1,eu_recession_lag1,cd_change,ARI,aesthetic_mean,aesthetic_std,aesthetic_resid_mean,clip_within_sim,n_clip_images,semantic_boldness
Alexander McQueen,Avant-garde,2000,Fall,30.53680280049642,2.280886472887634,3.003628425492281,42.480880419413246,0.1558568365521728,0.1470704790918953,0.432095434105241,0.3971057479378299,0.3443405278808747,30,0,23.32,4.55506182477734,0,3.02,3.93357955857741,0,0.5213110887567951,0.8685381197508449,1.868667789368836,1.0056420395461958,27.02829536593645,5.15065000231566,0.6811776053474016,,,,,,,0,0.372822764642912,5.059384615384616,0.4671284516967633,-0.0133018388742706,0.8553657531738281,30,-0.4470517949711931
Alexander McQueen,Avant-garde,2000,Spring,25.478574752807617,6.243498098552842,2.0308895821748965,11.706054170926413,0.4992027995087206,0.2436737913104153,0.1504549048801573,0.6289432096740364,0.5034093879080067,30,0,23.32,4.55506182477734,0,3.02,3.93357955857741,0,0.5213110887567951,0.8685381197508449,1.868667789368836,1.0056420395461958,31.180035635869455,5.442260401752528,-1.047627357416753,,,,,,,0,1.65505856062551,4.735256410256411,0.414113744205856,-0.2142105795638319,0.7970520853996277,30,0.46683092045153757
Alexander McQueen,Avant-garde,2001,Fall,26.96995531717936,5.486499182447995,2.2290499822927696,21.84103914896647,0.4689148256019378,0.2123263424642231,0.285848633423758,0.7373739118298196,0.6820066228594839,30,0,25.75,2.03855309163346,1,3.29,2.16114364230499,0,0.911464292125734,-0.4248317448040933,2.0828383629413016,0.3193157424653501,28.500382964808107,3.8978962606560104,-0.392629137690591,0.5213110887567951,0.8685381197508449,0.0,1.868667789368836,1.0056420395461958,0.0,0,1.1368557513041937,4.647941176470589,0.3861387842049178,-0.2587275822764144,0.8259201645851135,30,0.37598833797356473
Alexander McQueen,Avant-garde,2001,Spring,27.661971728007,3.0126268582952296,2.76443481178751,63.81950333913167,0.098501866407444,0.1265718841758929,0.6344088977950936,0.396540122380527,0.3115270360502104,30,0,25.75,2.03855309163346,1,3.29,2.16114364230499,0,0.911464292125734,-0.4248317448040933,2.0828383629413016,0.3193157424653501,26.52333280868437,3.952054546416696,0.2881131588517744,0.5213110887567951,0.8685381197508449,0.0,1.868667789368836,1.0056420395461958,0.0,0,-0.6628108913846252,4.02632911392405,0.5181876138194268,-0.4886526648422556,0.8271381258964539,30,-1.4006903819512404
Alexander McQueen,Avant-garde,2002,Fall,20.55385538736979,4.699826544524423,2.613676156906386,19.581825319925944,0.3631235704926153,0.2326018258659594,0.2337061494225635,0.7702274406603377,0.5384494318559144,30,0,27.29,2.31107096730896,0,2.21,1.09769505370336,0,1.158721877799876,-0.2847700778966697,1.2261560686514392,-0.0924750169353008,28.555124607090097,6.115121690318484,-1.308439901104174,0.911464292125734,-0.4248317448040933,1.0,2.0828383629413016,0.3193157424653501,0.0,0,1.1408479230215354,4.585172413793104,0.393277908878207,-0.334623396163381,0.8661097884178162,30,-0.0179280714943983
Alexander McQueen,Avant-garde,2002,Spring,24.446269512176514,7.581466106354691,2.270696600548296,16.53817539215088,0.4573269561763232,0.250401943947047,0.2198677166907426,0.7898132994739946,0.6868378905170494,30,0,27.29,2.31107096730896,0,2.21,1.09769505370336,0,1.158721877799876,-0.2847700778966697,1.2261560686514392,-0.0924750169353008,28.15086746649309,4.247917337604665,-0.8720974679807535,0.911464292125734,-0.4248317448040933,1.0,2.0828383629413016,0.3193157424653501,0.0,0,1.3979833027584725,4.177878787878788,0.3538514036298513,-0.3845411329935626,0.8609139919281006,30,-0.4602636260190247
Alexander McQueen,Avant-garde,2003,Fall,29.532200876871745,2.2164394175174977,2.777853874461271,39.05508041381836,0.2286016505783423,0.2302030238149311,0.4047707278728174,0.5056335749094355,0.3077966788305176,30,0,21.98,3.09383471039327,0,1.26,0.936970953534527,0,0.3061648778455285,0.1175345209459789,0.4725929394149866,-0.1547109350341145,28.20264762384225,5.737475144147671,0.231731418372359,1.158721877799876,-0.2847700778966697,0.0,1.2261560686514392,-0.0924750169353008,0.0,0,0.7872757456836413,5.081379310344828,0.4449855044982376,-0.1591557925769634,0.8000559210777283,30,0.29919782445688997
Alexander McQueen,Avant-garde,2003,Spring,33.144477383843785,6.246187577853823,1.9657317086834696,71.80619706778691,0.3099337370061668,0.2529894458356491,0.7704860107300097,0.8400043565268933,0.1701486090036248,29,0,21.98,3.09383471039327,0,1.26,0.936970953534527,0,0.3061648778455285,0.1175345209459789,0.4725929394149866,-0.1547109350341145,30.20866072324044,4.7111831749228665,0.6231590985955271,1.158721877799876,-0.2847700778966697,0.0,1.2261560686514392,-0.0924750169353008,0.0,0,-0.5466422765234669,4.693684210526317,0.4824588493886121,-0.3774499745486099,0.8151209950447083,30,0.7071989945437684
Alexander McQueen,Avant-garde,2004,Fall,38.23574566018993,5.274187600213288,2.4504613056654883,38.12153368982776,0.3242159872058265,0.2447878128039247,0.4119348263765909,0.6568910686670921,0.2915378028771186,29,0,15.48,4.50184539653775,0,1.0,2.59990864973688,0,-0.7374548019479292,0.8411873207340066,0.266354609308168,0.4892152350646045,28.550462892137727,4.809942461487909,2.013596388231254,0.3061648778455285,0.1175345209459789,0.0,0.4725929394149866,-0.1547109350341145,0.0,0,1.0079219968900504,4.769636363636363,0.4716125357095416,0.1051470941496799,0.8483194708824158,30,-1.0792855984348768
Alexander McQueen,Avant-garde,2004,Spring,26.770746421813964,4.02067178698021,2.5967425612441164,23.69013827641805,0.4183581107069427,0.2227467401791703,0.2788039277860273,0.5555495139003374,0.3807563569000404,30,0,15.48,4.50184539653775,0,1.0,2.59990864973688,0,-0.7374548019479292,0.8411873207340066,0.266354609308168,0.4892152350646045,29.148936437973248,4.589794226203922,-0.5181474155381062,0.3061648778455285,0.1175345209459789,0.0,0.4725929394149866,-0.1547109350341145,0.0,0,1.355324231451668,4.364590163934427,0.5333340846989243,-0.2467374643510649,0.77783203125,30,-0.668658359929963
